"price","number_of_reviews","regulation","Old_Town","Etobicoke","North_York","East_York","York","Scarborough","Entire_home_apt","Hotel_room","Private_room","Shared_room"
141,108,1,1,0,0,0,0,0,1,0,0,0
46,11,1,0,0,1,0,0,0,0,0,1,0
50,11,0,0,0,1,0,0,0,0,0,1,0
30,5,1,0,0,1,0,0,0,0,0,1,0
33,5,0,0,0,1,0,0,0,0,0,1,0
63,9,0,1,0,0,0,0,0,1,0,0,0
73,9,1,1,0,0,0,0,0,1,0,0,0
99,121,0,1,0,0,0,0,0,1,0,0,0
83,13,1,1,0,0,0,0,0,0,0,1,0
87,13,0,1,0,0,0,0,0,0,0,1,0
81,0,1,0,0,1,0,0,0,0,0,1,0
86,0,0,0,0,1,0,0,0,0,0,1,0
120,4,0,0,0,0,1,0,0,1,0,0,0
120,4,1,0,0,0,1,0,0,1,0,0,0
149,180,0,1,0,0,0,0,0,1,0,0,0
149,180,1,1,0,0,0,0,0,1,0,0,0
160,1,0,1,0,0,0,0,0,1,0,0,0
225,6,0,1,0,0,0,0,0,1,0,0,0
225,6,1,1,0,0,0,0,0,1,0,0,0
134,10,0,1,0,0,0,0,0,1,0,0,0
220,240,1,1,0,0,0,0,0,1,0,0,0
174,68,0,1,0,0,0,0,0,1,0,0,0
174,68,1,1,0,0,0,0,0,1,0,0,0
41,77,0,1,0,0,0,0,0,0,0,1,0
45,20,0,1,0,0,0,0,0,0,0,1,0
45,21,1,1,0,0,0,0,0,0,0,1,0
75,25,0,1,0,0,0,0,0,0,0,1,0
149,693,0,1,0,0,0,0,0,1,0,0,0
90,16,0,1,0,0,0,0,0,1,0,0,0
185,29,0,1,0,0,0,0,0,1,0,0,0
269,7,0,1,0,0,0,0,0,1,0,0,0
160,10,0,1,0,0,0,0,0,1,0,0,0
160,10,1,1,0,0,0,0,0,1,0,0,0
45,28,1,0,0,1,0,0,0,0,0,1,0
45,28,0,0,0,1,0,0,0,0,0,1,0
80,25,1,1,0,0,0,0,0,1,0,0,0
80,24,0,1,0,0,0,0,0,1,0,0,0
66,11,0,1,0,0,0,0,0,1,0,0,0
84,11,1,1,0,0,0,0,0,1,0,0,0
380,4,0,1,0,0,0,0,0,1,0,0,0
380,4,1,1,0,0,0,0,0,1,0,0,0
189,8,0,1,0,0,0,0,0,1,0,0,0
70,29,1,1,0,0,0,0,0,1,0,0,0
132,29,0,1,0,0,0,0,0,1,0,0,0
149,0,1,1,0,0,0,0,0,1,0,0,0
65,39,0,1,0,0,0,0,0,0,0,1,0
295,7,0,1,0,0,0,0,0,1,0,0,0
99,8,1,1,0,0,0,0,0,1,0,0,0
99,8,0,1,0,0,0,0,0,1,0,0,0
85,76,1,1,0,0,0,0,0,1,0,0,0
85,73,0,1,0,0,0,0,0,1,0,0,0
95,166,1,1,0,0,0,0,0,1,0,0,0
80,238,0,1,0,0,0,0,0,1,0,0,0
90,238,1,1,0,0,0,0,0,1,0,0,0
100,1,0,1,0,0,0,0,0,0,0,1,0
79,1,1,1,0,0,0,0,0,0,0,1,0
75,13,0,1,0,0,0,0,0,1,0,0,0
135,15,0,1,0,0,0,0,0,1,0,0,0
95,24,0,0,0,0,0,1,0,1,0,0,0
100,25,1,0,0,0,0,1,0,1,0,0,0
226,15,0,0,0,0,0,0,0,1,0,0,0
19,15,1,0,0,0,0,0,0,1,0,0,0
59,149,1,1,0,0,0,0,0,0,0,1,0
60,143,0,1,0,0,0,0,0,0,0,1,0
50,8,0,0,0,1,0,0,0,0,0,1,0
125,171,1,1,0,0,0,0,0,1,0,0,0
125,171,0,1,0,0,0,0,0,1,0,0,0
501,3,1,1,0,0,0,0,0,1,0,0,0
527,6,0,1,0,0,0,0,0,1,0,0,0
70,25,0,1,0,0,0,0,0,1,0,0,0
70,25,1,1,0,0,0,0,0,1,0,0,0
63,101,0,1,0,0,0,0,0,0,0,1,0
157,0,0,1,0,0,0,0,0,1,0,0,0
407,17,1,1,0,0,0,0,0,1,0,0,0
428,17,0,1,0,0,0,0,0,1,0,0,0
90,23,1,1,0,0,0,0,0,1,0,0,0
110,21,0,1,0,0,0,0,0,1,0,0,0
59,42,1,1,0,0,0,0,0,1,0,0,0
62,38,0,1,0,0,0,0,0,1,0,0,0
149,6,1,1,0,0,0,0,0,1,0,0,0
199,6,0,1,0,0,0,0,0,1,0,0,0
88,28,1,0,0,1,0,0,0,1,0,0,0
108,23,0,0,0,1,0,0,0,1,0,0,0
125,58,0,1,0,0,0,0,0,1,0,0,0
125,58,1,1,0,0,0,0,0,1,0,0,0
70,165,0,0,0,0,0,1,0,0,0,1,0
70,165,1,0,0,0,0,1,0,0,0,1,0
60,27,0,1,0,0,0,0,0,1,0,0,0
75,30,1,1,0,0,0,0,0,1,0,0,0
28,2,1,0,0,1,0,0,0,0,0,1,0
30,2,0,0,0,1,0,0,0,0,0,1,0
125,79,0,1,0,0,0,0,0,1,0,0,0
72,152,0,1,0,0,0,0,0,0,0,1,0
225,6,0,1,0,0,0,0,0,1,0,0,0
225,6,1,1,0,0,0,0,0,1,0,0,0
300,2,1,1,0,0,0,0,0,1,0,0,0
300,2,0,1,0,0,0,0,0,1,0,0,0
79,0,0,0,0,1,0,0,0,1,0,0,0
250,0,0,1,0,0,0,0,0,1,0,0,0
199,5,1,1,0,0,0,0,0,1,0,0,0
215,2,0,1,0,0,0,0,0,1,0,0,0
225,22,0,1,0,0,0,0,0,1,0,0,0
250,24,1,1,0,0,0,0,0,1,0,0,0
135,462,0,1,0,0,0,0,0,1,0,0,0
149,469,1,1,0,0,0,0,0,1,0,0,0
186,518,1,1,0,0,0,0,0,1,0,0,0
150,0,1,1,0,0,0,0,0,1,0,0,0
195,0,0,1,0,0,0,0,0,1,0,0,0
149,5,0,0,0,1,0,0,0,1,0,0,0
100,0,0,0,0,1,0,0,0,1,0,0,0
57,31,0,1,0,0,0,0,0,1,0,0,0
58,32,1,1,0,0,0,0,0,1,0,0,0
88,117,1,0,0,0,0,1,0,1,0,0,0
88,117,0,0,0,0,0,1,0,1,0,0,0
91,217,0,1,0,0,0,0,0,1,0,0,0
91,235,1,1,0,0,0,0,0,1,0,0,0
55,36,0,1,0,0,0,0,0,0,0,1,0
275,0,1,1,0,0,0,0,0,1,0,0,0
56,26,1,1,0,0,0,0,0,1,0,0,0
109,25,0,1,0,0,0,0,0,1,0,0,0
140,6,0,1,0,0,0,0,0,0,0,1,0
500,2,0,1,0,0,0,0,0,1,0,0,0
50,24,0,0,0,0,0,0,0,0,0,1,0
50,24,1,0,0,0,0,0,0,0,0,1,0
55,15,0,1,0,0,0,0,0,0,0,1,0
105,37,0,1,0,0,0,0,0,1,0,0,0
